market,shock,safeguard,participation,similarity,realised_volatility,maximum_drawdown,mean_pairwise_correlation,normalised_liquidity_deterioration,recovery_time,peak_herding,peak_asset_herding
amm,liquidity,none,0.75,0.5,0.02646352977275926,0.06600254386269055,-0.1472294627415704,0.25390049980439283,6.9,0.34750428609707856,1.0
amm,liquidity,none,0.75,0.9,0.04075179218835444,0.0739893617886831,-0.18437483380425262,0.25387012505444567,7.7,0.3615096231018252,1.0
amm,liquidity,position_limit,0.0,0.0,0.01207256025602047,0.05741483046666407,0.13641366895144819,0.2548251671042735,3.2,0.0,0.0
amm,liquidity,position_limit,0.0,0.5,0.01207256025602047,0.05741483046666407,0.13641366895144819,0.2548251671042735,3.2,0.0,0.0
amm,liquidity,position_limit,0.0,0.9,0.01207256025602047,0.05741483046666407,0.13641366895144819,0.2548251671042735,3.2,0.0,0.0
amm,liquidity,position_limit,0.25,0.0,0.011551319029986901,0.059256745162543104,0.0695903044018408,0.2555649806726733,1.5,0.470866714375686,0.5653333333333334
amm,liquidity,position_limit,0.25,0.5,0.01351615661316095,0.05988762033763066,-0.0022623046564526823,0.2555588505442812,4.3,0.4591275494507213,1.0
amm,liquidity,position_limit,0.25,0.9,0.01671431258190807,0.060819859557083945,-0.06910255496735021,0.255548760609455,2.3,0.4753455045277558,1.0
amm,liquidity,position_limit,0.5,0.0,0.014831588921981002,0.06689155098173591,0.053083817043776814,0.2542262283199861,4.6,0.3837221299116178,0.6386666666666667
amm,liquidity,position_limit,0.5,0.5,0.01981071923068804,0.06950750344234621,-0.06679613389539014,0.254221464132436,1.4,0.3955007908260998,1.0
amm,liquidity,position_limit,0.5,0.9,0.02760130749258194,0.0724904641346955,-0.1386188109882705,0.25419313778936176,7.1,0.4442519167989151,1.0
amm,liquidity,position_limit,0.75,0.0,0.01535513816401371,0.060780378763385726,-0.01302797294291127,0.25389817715653473,7.7,0.33856469808988354,0.6933333333333334
amm,liquidity,position_limit,0.75,0.5,0.0265400235770323,0.06575417111900435,-0.14699929360643704,0.25390171748791274,6.9,0.35411456027936616,1.0
amm,liquidity,position_limit,0.75,0.9,0.04083421738023289,0.0736614339621745,-0.18492645801312557,0.25385101399452725,10.0,0.47571238865126786,1.0
amm,volatility,all,0.0,0.0,0.01692047340932139,0.07093185223755957,0.11251909408442622,-0.0004561233274226,3.9,0.0,0.0
amm,volatility,all,0.0,0.5,0.01692047340932139,0.07093185223755957,0.11251909408442622,-0.0004561233274226,3.9,0.0,0.0
amm,volatility,all,0.0,0.9,0.01692047340932139,0.07093185223755957,0.11251909408442622,-0.0004561233274226,3.9,0.0,0.0
amm,volatility,all,0.25,0.0,0.01657451579503656,0.0735782202018927,0.13483392562876753,0.00119906854096502,4.4,0.5746528562755743,0.8020256604815428
amm,volatility,all,0.25,0.5,0.01670636378754607,0.07365809005972841,0.1295801623627137,0.0012042033396489399,3.3,0.5962867889281662,1.0
amm,volatility,all,0.25,0.9,0.017006628005351097,0.07369276753845765,0.11878208759061062,0.001204559877379,3.6,0.6368697405286271,1.0
amm,volatility,all,0.5,0.0,0.01675390007908016,0.0705573713962693,0.13089858244533992,-0.0009973621023409598,4.0,0.46682473936415525,0.7607181287840504
amm,volatility,all,0.5,0.5,0.017315240355575807,0.07107732552232535,0.10636744714410422,-0.0009852921956569002,2.4,0.48687153183047716,1.0
