Date,SPY_QQQ,SPY_GLD,SPY_TLT,SPY_USO,QQQ_GLD,QQQ_TLT,QQQ_USO,GLD_TLT,GLD_USO,TLT_USO
2016-10-10,0.9154028044526593,0.10843189351702345,0.24702157982464545,0.37525402087922805,0.07262533670157194,0.24424287095941427,0.1969185805872088,0.4639776851110478,0.030441254967545288,-0.052054970844239386
2016-10-11,0.9225638893789619,0.11977134616485395,0.24719597681251934,0.382622829015641,0.08456647862801098,0.24506335684378766,0.21574862956972715,0.46551113097224056,0.03773029417552304,-0.051245853236149545
2016-10-12,0.9226046829353037,0.12167926816511754,0.2519722855639022,0.3782907932564942,0.08668885215814179,0.256710987037074,0.21273545581730596,0.4653627557553996,0.03695984417054749,-0.04551637623070495
2016-10-13,0.9280962375880675,0.1412935516409819,0.2559083601257448,0.37647743565275754,0.13269020906555273,0.2751355503112317,0.21268602114740043,0.460035615350706,0.04117374066561295,-0.04264023413367585
2016-10-14,0.9279829738325519,0.16552335606954566,0.24877132219854542,0.36971171556329463,0.15126741694055626,0.266931739042035,0.20662403150204742,0.46658870044178424,0.08292775839908338,-0.026457130835372156
2016-10-17,0.9282170192822701,0.17333082518736748,0.23381199231889316,0.37873334471026193,0.15562304780453753,0.25335138607243934,0.21301062158974238,0.4778391078074135,0.07534275507125908,-0.029923563241267954
2016-10-18,0.9304165821531875,0.182163760303546,0.24114554628479243,0.3762243867254077,0.17107294161206504,0.26094405225860184,0.21686086249627756,0.48413800873784807,0.06156019967340818,-0.02825564909387466
2016-10-19,0.9278422402416506,0.1867251699654649,0.2419380108371449,0.3804156636727169,0.16838009840495105,0.2602766928750406,0.21516277329313077,0.48277290380634746,0.07474240204738318,-0.02387420366451765
2016-10-20,0.9377792772208863,0.20153667783597742,0.2527727868680927,0.38219135568344326,0.14165753931533576,0.2379145466144605,0.23602666402373282,0.44391982242670663,0.1181116011769231,0.0011126725104648723
2016-10-21,0.9369833580669374,0.20291333846989468,0.2537502027668495,0.3914068989594072,0.1454586743894208,0.24158482795243474,0.24870698267580432,0.4442532079929148,0.11458181406182162,-0.0015444796775803905
2016-10-24,0.9307373124033543,0.19683608350438342,0.24355089898216659,0.38454523489753945,0.13409529330269362,0.21919293537274107,0.23237653389220875,0.42521258995712685,0.10989138372656508,-0.005607178744970268
2016-10-25,0.9362919340240966,0.18488442736414704,0.23936584850391654,0.39660924720887636,0.11752295638154481,0.23577396707662474,0.26812439131087235,0.44823764145835276,0.10550219850003978,-0.06129261622848856
2016-10-26,0.9308403006634864,0.21357392418140822,0.22317490973580753,0.3934661323086562,0.15551089581311628,0.22604094430631405,0.2711886921439617,0.49797087981908705,0.1256484613160079,-0.06315415497080529
2016-10-27,0.930212558809815,0.21495228351006312,0.22810083891172225,0.38562910016850127,0.1533791732753219,0.2384735009979049,0.2596484881317957,0.4799231141987147,0.14519826921810125,-0.07919953975925192
2016-10-28,0.9287949859890559,0.20640357381560365,0.22785864409017456,0.388607753047902,0.13648945734698362,0.2351317407773972,0.2685702015097646,0.4736507859995633,0.1269939529602098,-0.09046933062505753
2016-10-31,0.9260538276368026,0.27743517959283986,0.26893871471261904,0.37707047524421566,0.20041775273567217,0.2719763702118506,0.267508329609846,0.45006194432025387,0.10895121327308141,-0.12537331023215892
2016-11-01,0.9277590371520693,0.2528766026552186,0.26402926116771475,0.37455548951149426,0.17780255276994728,0.26819365902524417,0.26783286361383496,0.4491859381220253,0.11176736595289696,-0.13383907314213261
2016-11-02,0.928702295372441,0.2304439751680045,0.24943586595764042,0.3872009886566021,0.1492739815331803,0.2446031575460105,0.2876430316291957,0.4508015093570437,0.08670568071047711,-0.14739925047393462
2016-11-03,0.9255424287099,0.2242826386642483,0.2629758584809098,0.39273841724323627,0.13190900850134274,0.26799147944471585,0.29973949097814195,0.4248092593015977,0.0920916037996105,-0.11394713116472784
2016-11-04,0.9240621771748719,0.24025582104928575,0.27907878751593246,0.3786452404172235,0.14198866839941326,0.26929009418439664,0.2906462781571681,0.4104720538110724,0.12677712201756655,-0.08568732791589632
2016-11-07,0.937181137993115,0.07478612735655824,0.18896104540550376,0.39590372566334775,0.0006131685121643953,0.18308909277144897,0.3121644340084239,0.444742849715244,0.09146699756239336,-0.13801240814094623
2016-11-08,0.9374421783609972,0.06469030013525902,0.1957047458124628,0.38691055122828716,-0.011370132123343053,0.190415316186262,0.29944147054605735,0.4669165346265573,0.08284337340436565,-0.11193135077407206
