candidate_id,price_impact_multiplier,depth_multiplier,liquidity_withdrawal_strength,background_order_multiplier,reaction_time_heterogeneity,volatility_error,drawdown_error,correlation_error,autocorrelation_error,tail_error,weighted_loss
77,0.5,1.0,0.25,1.0,0.0,0.016286348922643634,0.44592682424420593,0.016475438562998292,0.05716313449731779,0.641718276166297,0.21184718072901598
124,0.75,0.75,0.75,0.75,0.35,0.015138706962591546,0.4451666553887641,0.016327823323168112,0.06151810576212378,0.6434340997011079,0.21185239391636349
144,0.75,1.0,0.75,1.0,0.35,0.015132484762908172,0.44516907316267956,0.016327144122499533,0.061543200060875526,0.6434456542126009,0.21185478162952387
115,0.75,0.75,0.5,0.5,0.0,0.016272923571949864,0.44594372388500075,0.016474885302567355,0.057226973231206915,0.6417233039877162,0.21185499901949095
63,0.5,0.75,0.5,0.75,0.0,0.016270774933407506,0.44594783278915306,0.01647479515649014,0.05723779054851521,0.6417261701966164,0.21185693742257938
83,0.5,1.0,0.5,1.0,0.0,0.01626862828694755,0.44595193770393304,0.016474705212641414,0.05724859525848265,0.6417290338845288,0.2118588737540936
121,0.75,0.75,0.75,0.5,0.0,0.01625732566801937,0.44596474311301115,0.01647425218708563,0.057301636355163645,0.641731124955953,0.21186474720283793
69,0.5,0.75,0.75,0.75,0.0,0.01625409863137571,0.44597089390463546,0.016474117674924817,0.05731784616866634,0.6417353988424879,0.21186764579690376
89,0.5,1.0,0.75,1.0,0.0,0.016250875960538418,0.4459770357517721,0.01647398362121451,0.05733402821778968,0.6417396670698532,0.21187053976670034
129,0.75,1.0,0.25,0.75,0.0,0.016071301849594603,0.4465327365084907,0.01647254572720273,0.05827417236184303,0.6420477491428602,0.21210791280333643
135,0.75,1.0,0.5,0.75,0.0,0.016051836205822394,0.446557419962245,0.016471846838880946,0.058365333122931476,0.6420570866027191,0.21211938819076148
141,0.75,1.0,0.75,0.75,0.0,0.016032328041021414,0.446582153785209,0.016471160662711475,0.058456494979653294,0.6420662889547774,0.21213085507385449
