market,participation,similarity,shock,safeguard,seed,realised_volatility,maximum_drawdown,mean_pairwise_correlation,peak_herding,peak_asset_herding,mean_depth,mean_spread_or_cost,mean_absolute_order_flow,normalised_liquidity_deterioration,recovery_time,price_recovery_time,volatility_recovery_time,liquidity_recovery_time,pre_volatility,pre_correlation,pre_depth,pre_price_level,shock_volatility,shock_correlation,shock_depth,shock_price_level,recovery_volatility,recovery_correlation,recovery_depth,recovery_price_level,robustness_case
amm,0.5,0.9,volatility,none,101,0.022047755974041607,0.06703001168430668,-0.041500005493482706,0.3472222222222222,1.0,34.81506452162583,0.004968799369205762,0.27661655074178404,0.0032933753001674893,1.0,0.0,1.0,0.0,0.013738616298107978,-0.10767216991660053,35.05205864293468,101.40290125155012,0.017489893618910818,0.0038058982601445078,34.95353943154034,100.73722722105653,0.013237873927813445,-0.0961234984320856,34.676589611711314,98.98856654274886,baseline
amm,0.5,0.9,volatility,none,173,0.024530507236199886,0.09290101744194355,-0.010790667603242687,0.3877551020408163,1.0,34.880732140160234,0.005190949472316284,0.29631560156354625,0.00280245010293545,1.0,0.0,13.0,0.0,0.013597551451825443,-0.11201138978888389,34.948075233667346,100.81439763344282,0.01953636837735483,0.00442803951384565,34.84749201704659,100.32254935089826,0.014807347820882976,-0.04849486491207463,34.913972263273884,100.69955392534575,baseline
amm,0.5,0.9,volatility,none,257,0.02368656262089126,0.06505938814429002,-0.02553100251589655,0.4013605442176871,1.0,34.88693950708326,0.005105614795218185,0.2812369577127285,0.008005659809622756,3.0,0.0,0.0,0.0,0.01592337988680916,-0.08913842827189096,35.19960973814039,102.62823434545065,0.0177725530808926,0.0743010715004723,34.90928857245132,100.92034733300116,0.015643150390525513,-0.17747582528933342,34.8645904417152,100.7129081171892,baseline
amm,0.5,0.9,liquidity,none,11,0.02839765847954224,0.06856083999461764,-0.11409736249312515,0.38028169014084506,1.0,22.186082306678685,0.005487234661139213,0.28798585425400136,0.25345891246851293,11.0,0.0,260.0,260.0,0.01150596820397369,-0.11675062378973396,34.354389612170124,97.31730929746087,0.0179803243166387,-0.11369245449295247,25.654311235649043,97.74423756079278,0.021911230432448043,-0.11937631512720981,18.71785337770833,96.5476792802081,baseline
amm,0.5,0.9,liquidity,none,47,0.028346355836502753,0.10525730753147082,-0.15326561465897892,0.32867132867132864,1.0,22.446589481735444,0.005495135665057782,0.293792622066938,0.2532769705193356,7.0,0.0,260.0,260.0,0.011299571925971155,-0.14961774249913312,34.57657619271676,98.90163407263843,0.016069297988165233,-0.11618453552940208,25.82832674356675,99.47566674569512,0.023273688905741642,-0.169066021334339,19.064852219904147,100.8633872409632,baseline
amm,0.5,0.9,liquidity,none,101,0.025745853336607512,0.06911002676018227,-0.09631678368127455,0.41333333333333333,1.0,22.617438828118757,0.005307913682949854,0.2696000951379349,0.2539791035711366,2.0,0.0,25.0,260.0,0.013738616298107978,-0.10767216991660053,35.05205864293468,101.40290125155012,0.016406362747615044,-0.04969734657096891,26.16223287161596,101.79632747369284,0.019771867743016088,-0.12785467233226236,19.072644784621556,100.33537435440246,baseline
amm,0.5,0.9,liquidity,none,173,0.02923343501348808,0.0829790719839871,-0.13940279707599712,0.37681159420289856,1.0,22.79352887986024,0.005640634633084795,0.3119912920798588,0.24951842041144578,24.0,0.0,260.0,260.0,0.013597551451825443,-0.11201138978888389,34.948075233667346,100.81439763344282,0.01900009655319123,-0.09639693686617226,26.22589762314622,102.63411967644188,0.022112465832104678,-0.16871330081117664,19.361160136574263,103.6334049986401,baseline
amm,0.5,0.9,liquidity,none,257,0.03076006691893971,0.06328006186864424,-0.12304276844945235,0.4520547945205479,1.0,22.71551121354644,0.005619327395833325,0.2906434894113011,0.25657833594552915,1.0,0.0,3.0,260.0,0.01592337988680916,-0.08913842827189096,35.19960973814039,102.62823434545065,0.016730559222930312,-0.15237570827291386,26.161763580736636,102.2947168020548,0.025640374249801735,-0.1191224978836944,19.26925884635624,103.14789774610408,baseline
traditional,0.5,0.9,fundamental,none,11,0.040647969949171164,0.12899279045964576,-0.10794651729754938,0.3783783783783784,1.0,0.5356296889278674,0.0015219821133261495,0.31855710138191545,0.009753347937540457,1.0,0.0,12.0,0.0,0.023739831411479742,0.054457999122450904,0.5417827253752179,98.95857463776545,0.030625126117863978,-0.08839273806687223,0.5371345888400314,95.99534031874038,0.025771909469930975,-0.10224560130067425,0.5341247890157036,94.13601105251797,low_depth
traditional,0.5,0.9,fundamental,none,47,0.032926507709221835,0.13817592729257624,-0.04706357813584393,0.4,1.0,0.5473964804950134,0.0013864276029903818,0.2627009781598699,0.009001853976375651,2.0,0.0,3.0,0.0,0.01896171559234286,0.10948823174016653,0.5521252929650515,96.21035438177198,0.02467625111806787,-0.08011630931017508,0.5463684682255573,93.6021125652094,0.02055076269482873,0.007795346312806817,0.5484244927644696,92.2666654443894,low_depth
